fips,life_expectancy,le_ci_low,le_ci_high,premature_mortality,drug_overdose_deaths,child_mortality
37091,74.720010291,73.418469735,76.021550846,10827.815757,24.13264437,84.961767205
37093,75.393055341,74.559947835,76.226162847,9646.7600915,22.31227537,83.640013382
37095,75.622143275,72.498171224,78.746115326,10281.683873,,
37097,77.913308756,77.502957115,78.323660397,7090.2272525,15.933744925,55.778196788
37099,78.016354778,77.019971412,79.012738143,9144.4618048,35.796432543,
37101,77.703484717,77.305814531,78.101154903,7194.3478912,18.145353834,43.058080566
37103,75.574859001,73.594343369,77.555374632,10135.025409,,
37105,76.250058239,75.469329291,77.030787187,9767.8575762,33.408052418,72.972881241
37107,73.619946997,72.810256924,74.42963707,12033.691492,22.666945033,73.630375515
37109,77.011165604,76.38952187,77.632809338,8173.2762014,20.544387506,51.716426255
37111,76.699049965,75.89063069,77.507469239,8398.26848,23.349994527,41.062140706
37113,78.415891873,77.457838549,79.373945197,7684.0577817,21.467840242,41.817145029
37115,76.663503466,75.431506162,77.895500771,9081.5475938,26.050445922,
37117,73.951043461,72.594522744,75.307564179,11807.291507,29.722540088,87.912087912
37119,79.989319305,79.803636975,80.175001634,6099.9996672,19.020749418,49.13152519
37121,74.726442966,73.256431375,76.196454557,10317.28526,26.758835991,
37123,75.516538362,74.360448678,76.672628046,10329.012625,18.363899023,50.142069196
37125,79.071050189,78.469456589,79.672643789,7848.3573369,16.836461834,54.970760234
37127,75.094136503,74.50319827,75.685074736,10156.130839,24.719870892,64.160765087
37129,79.089631387,78.71007382,79.469188955,7274.360771,34.690627843,43.352685816
37131,75.892661372,74.426221478,77.359101265,10923.038988,24.035572648,
37133,76.213072799,75.753521043,76.672624555,8760.8437209,23.683876951,52.79885706
37135,82.125480066,81.57721695,82.673743183,5129.4643315,13.977185626,45.467661126
37137,76.30600658,74.199471586,78.412541574,11402.024465,62.97394453,
37139,74.887505599,73.972610041,75.802401157,10256.276819,37.551633496,65.352048645
37141,77.236270808,76.492398232,77.980143383,8476.6154833,23.697555992,48.50531762
37143,76.514630802,74.687152004,78.3421096,10691.175539,32.05760505,
37145,75.90327628,75.001688644,76.804863916,9376.8808997,28.590168346,66.924223527
37147,77.540487594,77.0484673,78.032507888,8673.0969598,27.042937562,85.277575253
37149,79.279877822,77.959482141,80.600273502,7696.3236192,25.655415698,
37151,74.997843118,74.496822554,75.498863683,10543.238338,42.866245728,69.029706042
37153,73.140971109,72.254073324,74.027868894,11956.871912,29.094055861,99.756690998
37155,71.693898268,71.143579808,72.244216728,14665.479758,44.336293333,100.54802511
37157,74.299398739,73.689190673,74.909606806,11126.32615,42.859497775,53.020827669
37159,74.982810539,74.518380772,75.447240306,9840.3546959,37.807183365,46.16143769
37161,75.284144816,74.597185046,75.971104586,9963.0860823,24.884164216,41.988425799
37163,76.026017447,75.29301708,76.759017815,9397.7440717,19.943423656,45.20357754
37165,73.125422306,72.117406285,74.133438327,12627.289959,22.058118347,87.401673118
37167,75.273808363,74.53267895,76.014937775,10201.773454,37.210291303,72.443577598
37169,76.457549022,75.59001834,77.325079705,8954.50366,37.280429237,38.146659233
37171,75.247359809,74.608739842,75.885979775,9170.3494658,29.71023239,46.190138405
37173,70.612572772,69.044530999,72.180614544,14943.497044,44.501698091,79.302141158
37175,81.013601709,79.917739901,82.109463516,6573.6368836,13.579312887,65.814215871
37177,78.602418004,76.204514002,81.000322006,6493.1259719,,
37179,80.046534721,79.665427431,80.42764201,5514.8140668,14.993148964,29.61617438
37181,73.262624026,72.30798796,74.217260091,13262.852452,29.140359398,92.828410254
